column,n,spearman_rho,p_value,abs_rho
function_count,52,0.49839036317664615,0.000169838848024416,0.49839036317664615
compute_instr_count,52,0.43741745401184917,0.0011842890552659334,0.43741745401184917
ir_instruction_count,52,0.4345338409290449,0.0012870803646506507,0.4345338409290449
loop_count,52,0.40049505259850987,0.0032606397969309046,0.40049505259850987
memory_access_density,52,-0.3689180348272938,0.00711758109593625,0.3689180348272938
basic_block_count,52,0.3460442067183502,0.011975455662704236,0.3460442067183502
avg_bb_size,52,-0.33348999289287334,0.015692966120958836,0.33348999289287334
call_to_bb_ratio,52,-0.3171430628251307,0.021972312225057966,0.3171430628251307
cfg_edge_count,52,0.3113323040511107,0.02466359167554772,0.3113323040511107
store_count,52,0.30497510172077963,0.027919781012851596,0.30497510172077963
branch_instr_count,52,0.2979246182921936,0.03194365218689163,0.2979246182921936
hostcall_density,52,-0.28074679537806563,0.04379720744146234,0.28074679537806563
compute_density,52,0.27403583432385703,0.049313024139851586,0.27403583432385703
hostcall_count,52,-0.27171813297543906,0.05134439228965603,0.27171813297543906
memory_instr_count,52,0.26679241557670264,0.055887302846712575,0.26679241557670264
compute_to_memory_ratio,52,0.25391949965417254,0.06930493977413259,0.25391949965417254
max_loop_depth,52,0.2259528792517173,0.10725213754007053,0.2259528792517173
load_store_ratio,52,-0.21391035690255142,0.12782923537115162,0.21391035690255142
load_count,52,0.14869348658929987,0.2927807524401698,0.14869348658929987
avg_bb_out_degree,52,0.14421383689757764,0.30772604977819945,0.14421383689757764
branch_density,52,0.1325759397975767,0.3487979619919225,0.1325759397975767
call_instr_count,52,-0.10327886136621989,0.46624515515275633,0.10327886136621989
alloc_call_count,52,0.07941878503113713,0.5757110024737692,0.07941878503113713
